Square_Footage,Bedrooms,House_Age_Years,Distance_To_City_Miles,Sale_Price
4068,3,11,12.8,252417
2202,5,22,2.4,231526
3156,5,10,0.8,314233
3681,3,8,3.7,314098
4183,4,9,5.6,322946
2547,3,10,15.1,164584
3380,4,3,22.8,115397
2342,3,17,13.0,179979
3729,4,16,6.4,278667
2072,4,7,13.9,148981
3952,4,23,2.1,364728
2477,2,7,12.5,208529
2289,4,11,6.7,243663
3107,3,36,9.8,215411
3383,4,30,32.7,80000
4049,2,16,15.4,177798
1833,2,17,13.2,135594
3684,4,8,2.5,333330
1633,4,24,1.7,203925
1990,2,5,17.6,91571
1099,5,30,9.5,102788
1464,3,2,23.1,80000
1625,4,13,7.4,177645
2186,4,10,9.8,175864
2651,2,12,5.2,251962
2895,2,54,18.6,80000
2240,4,19,5.0,209929
1408,4,18,16.8,106086
2204,2,15,6.8,200761
4082,4,34,16.2,195859
1390,3,17,17.3,80000
1812,4,14,14.1,106444
4079,4,26,1.8,259563
2926,5,16,16.1,182835
1544,2,20,11.0,108825
1822,4,11,18.0,93826
3212,2,35,9.8,176529
1720,4,10,4.2,224078
1853,4,31,2.4,171222
2097,4,9,7.6,213409
2095,3,10,3.0,225578
1526,5,13,9.3,190595
3539,1,19,12.0,205103
1415,5,21,14.1,126504
3404,1,14,9.9,202806
1492,1,40,3.7,97005
1263,1,10,32.7,80000
1624,2,8,2.4,202942
4000,4,14,4.2,270911
4307,3,3,4.6,310043
3233,4,12,13.7,229773
2164,3,7,29.9,80000
2278,3,5,8.2,232270
1537,4,20,6.2,157031
1990,3,13,4.5,219870
1353,3,4,8.0,169350
2199,4,1,3.2,252772
1570,4,9,29.3,80000
2246,2,13,4.6,196283
2015,1,24,13.7,103449
2338,3,21,8.4,162646
1684,1,15,8.7,142296
2900,4,3,34.5,80000
2894,4,6,2.1,311559
2028,4,14,8.6,214061
2470,4,13,24.4,80000
3103,2,14,10.7,232190
1224,2,9,4.8,151526
3257,4,50,11.5,170059
2184,5,13,3.7,240746
3267,3,12,11.8,244945
1823,4,6,4.0,213445
1854,3,4,10.7,169727
3585,3,32,6.6,239297
2562,4,5,29.0,80000
2727,3,7,15.3,190842
2046,2,8,16.0,95506
1442,4,8,3.7,191899
1507,3,1,2.7,239318
1857,5,11,8.0,200642
2297,3,34,4.3,205926
2157,3,1,12.6,170583
4532,3,17,5.6,274672
2396,4,21,4.1,208879
2400,2,19,12.1,178336
1778,2,7,8.4,171184
934,3,15,2.0,159102
3252,2,22,2.1,277366
1180,4,24,8.6,107830
3306,3,16,8.1,219401
3454,5,26,1.6,304746
3091,3,26,3.5,260573
2592,3,13,8.8,243523
2547,4,21,5.2,228893
3207,4,19,2.4,291821
3297,4,16,12.4,246896
3818,3,17,5.3,270890
3641,3,21,9.4,248686
2218,3,9,19.3,97224
3774,1,18,5.8,236143
2967,4,5,12.1,229136
1572,2,5,20.7,80000
2448,2,28,4.8,158820
2209,4,13,11.3,218224
1864,2,11,20.9,80000
1614,4,3,24.1,80000
3242,3,12,2.3,285468
3735,3,42,4.8,234382
4353,2,12,11.8,233723
1335,3,6,7.6,191841
2013,2,6,7.6,198661
1140,2,12,3.4,141057
3233,3,9,8.9,214711
3078,4,8,2.6,273995
1488,3,61,4.3,80000
2523,4,7,9.6,238449
2622,3,18,3.4,226497
2953,4,32,4.8,255531
2330,3,22,13.2,126770
2352,4,11,4.8,257792
4460,3,48,7.0,205218
1931,2,5,22.3,80000
4265,2,23,21.7,119080
1667,3,24,13.6,113615
3229,5,5,17.1,223122
1715,2,12,7.0,178938
2909,4,6,24.8,94717
2419,4,1,0.8,324687
1188,5,15,4.9,188614
2445,4,5,38.7,80000
2582,4,4,4.7,272910
2633,3,25,0.4,260557
3913,3,9,0.8,312294
3577,2,11,6.4,250116
4778,4,13,1.4,339441
1788,4,5,21.8,80000
1380,4,39,15.2,80000
2397,4,32,4.5,226621
4387,3,32,11.1,233490
3954,4,7,9.3,236980
1939,3,2,12.3,148268
1614,4,29,6.0,137730
3272,4,4,4.4,265937
3017,2,14,5.4,259767
4093,3,3,1.5,313968
2397,4,31,2.8,234590
1798,3,18,4.0,187091
2631,3,17,4.4,240093
2871,5,10,6.2,288643
3834,2,8,6.9,271277
2186,4,27,17.8,125185
3758,4,30,1.9,282241
1857,4,16,29.4,80000
1766,5,20,4.8,217278
4695,3,24,1.9,307771
2310,3,9,24.8,80000
2893,3,5,4.1,282348
2540,3,31,7.9,170178
2718,4,1,17.1,177307
2130,4,17,4.0,242470
2318,4,57,5.4,148729
2096,4,24,17.6,107733
2510,4,13,11.5,205661
4041,2,18,24.4,81058
2538,3,4,7.3,257044
1773,5,5,23.9,80000
1941,4,9,9.3,197126
1711,3,7,11.3,161266
2253,3,5,18.0,121590
2619,3,7,11.9,193844
1988,2,16,24.9,80000
1512,2,16,2.9,180868
1886,3,26,14.6,95703
3488,1,3,11.9,216142
3881,2,6,4.1,272286
4831,4,13,20.8,177859
2788,2,15,1.1,231672
1312,2,29,0.9,138695
1710,2,11,23.0,80000
4201,3,5,2.7,339185
2976,3,10,17.0,164662
2473,3,33,9.4,181816
3182,3,12,3.3,315291
2296,3,21,5.0,217653
3479,4,27,2.7,281858
2492,4,9,4.1,271255
3234,1,21,4.8,207765
2796,4,32,9.7,185165
4793,1,14,3.9,273732
2074,2,10,6.0,166373
3393,3,8,9.0,258539
2902,4,12,23.6,96048
2782,3,17,21.9,104181
1759,3,7,18.7,80000
4286,4,22,9.9,266247
2009,5,52,1.4,181474
1900,3,8,18.2,117178
1196,3,21,1.2,181200
1944,2,26,4.7,175109
2300,4,5,6.9,255977
2508,4,12,5.9,233049
1704,3,18,9.6,168962
1965,4,58,6.3,119106
2801,2,37,10.7,131048
3188,3,20,21.2,108451
4609,3,4,13.8,270881
2993,2,27,5.5,226344
2211,2,12,4.2,230132
2414,4,57,15.2,80000
2229,3,7,2.8,269715
3942,1,6,6.3,259535
3250,4,21,6.7,235590
3210,4,19,5.8,271525
1244,3,10,12.8,105584
2448,3,16,12.2,191002
3507,4,3,8.0,263820
1676,4,8,7.7,211587
3024,3,19,7.8,277503
1869,3,18,4.1,192220
2574,4,11,2.6,249810
2818,3,7,12.9,198607
2271,4,12,0.9,272051
2022,4,3,17.1,163723
1759,2,2,8.6,179046
2423,4,37,4.5,206154
3998,3,22,11.8,206100
1714,4,26,8.2,133188
3857,1,5,3.1,232152
3895,3,2,4.7,268726
3894,3,24,11.7,220674
1722,4,36,6.3,140543
1651,4,2,6.3,239085
1753,4,32,12.7,123434
2600,4,46,18.0,98828
1413,2,18,7.8,105315
3486,2,16,14.3,181429
1783,2,13,5.8,174244
1994,1,7,13.1,117823
1556,4,24,2.0,230084
1677,5,20,17.8,118361
2660,4,5,8.5,204706
1396,3,7,21.4,80000
3456,3,8,8.1,271486
3211,3,13,3.8,295139
1805,4,23,5.2,212790
3683,3,8,4.3,322849
2208,2,13,5.3,188238
3331,5,31,11.7,243110
3990,3,8,11.0,226633
3439,4,25,7.6,253200
1450,3,22,5.3,142540
4358,1,8,20.0,136425
3888,3,16,1.4,319646
2598,3,7,10.6,215567
2134,4,19,8.5,199615
1994,1,5,7.7,195520
2365,4,31,4.8,200331
2205,3,24,3.9,218806
2713,2,0,3.8,294921
2047,2,20,3.1,226381
2145,4,16,2.9,270777
2772,3,21,5.6,238992
3718,3,12,18.2,165149
3201,3,31,20.0,86703
902,5,4,7.2,175333
2963,4,19,10.0,252391
3469,2,32,8.7,209343
4008,2,8,1.4,324514
2190,1,9,10.1,139573
2972,1,43,26.0,80000
3830,5,9,11.6,277630
2283,5,26,22.4,80000
1242,3,18,10.5,130508
3781,3,1,13.6,227835
2917,3,1,9.4,241390
2256,4,5,2.7,266749
2047,5,13,6.5,226282
3149,5,35,4.4,260522
3198,3,14,11.8,253693
2740,2,7,10.3,207234
1475,3,9,10.8,128142
1235,3,5,4.7,167857
2091,3,11,7.9,199461
1763,2,7,2.6,200974
3881,3,6,9.2,265677
2199,4,8,12.3,183179
4004,4,4,11.0,294819
1866,3,9,9.6,181786
2034,3,25,20.8,80000
2179,2,20,8.0,162341
2644,3,28,0.5,270361
2156,4,9,3.7,201377
3282,4,8,33.3,80000
2116,2,5,13.9,155018
4217,2,31,7.1,234507
3455,2,10,13.0,226298
3175,3,7,2.1,280574
2365,4,20,3.5,248494
4029,4,10,10.7,283668
1268,4,12,17.5,80021
2340,4,21,4.7,226270
998,3,5,7.6,137899
1605,2,24,2.9,135062
3108,3,12,8.6,273002
2399,4,7,12.8,195613
1257,3,14,7.4,129605
4075,5,25,16.3,218723
1888,3,11,9.0,185487
1840,2,9,11.0,180897
1806,4,18,4.9,214554
1702,2,11,6.3,166746
2493,3,17,13.0,169432
2100,4,17,13.9,138240
4009,4,13,1.7,317326
2305,1,35,7.6,130948
2012,3,26,28.5,80000
3345,4,14,9.5,272267
2827,4,20,3.1,256478
4710,4,9,0.7,392102
3767,3,10,19.1,190824
2238,2,15,19.1,80000
1989,3,15,2.8,225377
1342,5,9,34.6,80000
3887,4,12,16.2,246975
1655,2,11,12.0,129258
2291,5,20,3.8,233388
2920,3,28,7.6,206928
1788,1,4,3.5,203252
3987,3,17,8.6,276968
1810,2,17,5.0,185575
1903,3,10,4.3,233665
2408,2,15,8.9,167542
1369,4,25,4.3,161302
3281,4,16,16.6,185304
3644,5,15,5.7,313890
1942,4,43,10.7,147974
3332,4,12,13.2,241612
1339,5,21,11.7,139325
4826,4,7,15.1,261327
4016,3,37,8.8,237388
2979,2,37,20.8,80000
3238,4,24,2.0,313304
1935,4,11,10.1,207619
3589,2,4,10.0,257547
1681,3,12,20.1,80000
1653,3,16,3.3,198372
2427,3,12,14.1,190897
1792,5,1,12.7,186326
2430,3,23,4.3,233574
1334,5,11,2.9,195532
2511,5,5,8.2,252889
1616,3,42,3.0,132472
2066,3,11,11.5,166409
2189,4,4,2.7,239027
2140,5,7,8.6,234172
3436,4,11,5.5,307335
2694,1,12,4.8,208390
1571,4,27,16.2,80000
2422,4,13,6.7,220675
3958,4,4,7.1,318635
2367,3,12,8.1,238142
2433,2,3,9.6,196478
3161,4,5,5.0,284490
2357,4,14,11.2,230806
2443,3,4,4.2,251679
2607,3,9,1.9,281821
2223,4,36,18.5,97080
1063,4,23,30.8,80000
2652,3,10,15.2,171476
3207,3,12,4.6,280329
2907,4,11,10.7,240839
2006,5,22,12.8,175405
2454,1,6,4.7,230455
1923,1,12,10.4,158548
2004,2,14,7.2,179634
2943,4,9,2.0,299847
2422,5,7,6.4,284321
2739,3,17,7.9,199833
2101,4,14,5.7,218234
4240,3,25,12.7,235098
2502,3,19,1.1,220824
2341,3,11,19.0,112587
3610,2,9,2.1,241789
1680,3,2,6.1,163288
1243,4,12,19.4,80000
2973,2,9,5.3,271184
2385,4,2,1.8,253578
2472,2,7,3.1,232879
1526,2,15,3.8,172465
4137,3,17,16.1,210404
1976,4,22,5.9,211902
3012,1,5,5.2,258741
2827,4,13,8.6,223175
3165,4,17,6.8,262819
1392,3,13,16.2,80000
3515,4,21,6.9,273750
2143,4,14,7.2,204663
1893,3,19,8.1,189686
3813,4,4,10.4,210715
2334,3,24,4.6,226063
3934,2,12,3.5,242034
4793,2,8,7.4,291108
1009,3,6,39.8,80000
2741,3,11,4.1,245160
1864,3,12,4.9,225524
1305,4,5,6.1,161624
3517,5,16,11.9,240054
1708,5,8,6.5,222971
2388,2,25,7.0,162595
3425,3,36,13.0,174757
1899,4,16,3.1,207969
3685,3,35,10.0,184795
3207,3,13,1.7,328922
3159,4,38,3.9,239898
2215,5,7,10.3,256511
1026,4,9,1.8,202159
4019,5,14,4.9,304088
2009,3,16,16.0,141513
4807,2,18,2.0,255697
1959,4,11,9.1,221822
1609,3,79,8.2,80000
2784,3,43,5.9,178474
2246,3,8,19.7,118767
2156,1,30,2.2,176051
2471,5,6,14.7,192902
1132,3,19,12.7,99034
3885,4,19,22.4,193767
1882,3,4,10.4,158236
1971,3,12,6.4,236751
2583,2,12,12.9,171086
4074,5,17,4.2,321934
2284,3,24,3.4,208810
3383,3,12,4.7,288476
1732,5,29,6.4,183510
3674,5,15,18.2,179888
3155,4,22,5.6,239980
3822,5,44,4.2,283824
2287,2,15,2.2,215078
3855,4,8,26.1,130793
1975,4,19,18.1,80000
1532,3,21,23.5,80000
2924,3,17,15.1,165240
2252,5,46,3.3,214303
2127,4,8,27.9,80000
4014,3,17,12.7,233822
1700,2,2,19.0,96671
1460,4,35,19.5,80000
2480,5,10,6.5,234112
1715,3,4,11.5,166290
4097,5,10,8.3,298611
2453,3,3,4.8,227151
3443,3,24,2.2,266168
1511,4,47,10.3,96399
4267,3,11,6.6,315700
2715,2,8,12.4,190700
2017,4,30,13.0,136110
1874,4,7,6.0,256057
4926,3,6,4.0,323730
1719,2,18,12.6,119758
2327,3,17,3.0,212308
3400,4,16,32.8,80000
2602,3,5,11.2,229937
2455,3,36,9.1,192671
1885,4,14,8.5,144312
2713,5,11,9.6,257252
2947,2,18,2.9,246537
2209,4,5,4.4,254227
3870,4,13,11.5,257650
2019,4,21,14.6,118745
2718,1,17,3.7,232688
3722,4,7,11.8,274898
1395,4,32,5.5,129153
2455,4,5,4.2,275485
2171,4,18,11.6,157604
2954,4,55,5.1,189556
2213,4,2,3.4,254890
1404,3,3,7.2,182706
3976,5,19,11.8,259759
3805,4,35,9.0,229239
2045,1,29,6.5,146113
3537,4,11,3.2,315678
2429,4,15,8.7,224776
1742,4,4,32.0,80000
2884,3,26,12.0,214809
1895,3,31,6.7,174631
1855,3,11,12.1,158345
1595,4,9,5.1,205474
2802,2,7,11.9,206072
1820,5,20,3.0,233167
3679,1,33,4.6,255332
2050,3,8,14.8,173242
2992,4,4,4.3,282400
1869,4,19,1.0,199851
3446,4,6,11.8,261061
2195,3,16,13.7,188744
2838,3,9,17.8,187547
3084,4,12,35.4,80000
2944,4,18,1.7,273198
2804,3,32,33.0,80000
2075,5,7,24.4,80000
2045,3,14,12.1,166742
2321,5,44,10.8,151734
3948,2,11,31.8,80000
3070,4,19,23.8,80000
2277,3,31,7.0,174063
2542,3,27,11.8,123977
3905,3,21,5.5,288552
3732,2,14,17.8,152750
3167,3,26,9.8,202046
3130,3,7,8.3,269177
1889,4,6,11.4,194577
3257,5,15,7.2,272910
2761,4,8,11.2,216020
3138,3,7,4.2,268295
3628,3,3,3.3,280687
3515,4,10,17.8,209188
3807,4,6,5.9,301792
3758,4,16,2.4,314920
1914,3,9,3.5,222928
2141,4,4,5.1,233853
3921,4,5,0.9,364796
2874,5,2,4.2,322193
3727,4,11,54.9,80000
1635,3,10,8.6,180744
1240,4,12,16.5,119430
2055,2,15,5.8,231909
1759,3,10,9.0,163701
1947,2,2,20.2,80000
2327,5,57,10.6,97632
3291,4,8,21.7,133987
2121,3,8,8.3,193686
3514,3,9,23.2,114632
1333,4,16,10.2,146180
2543,3,23,7.8,201720
1562,2,7,5.6,174217
1978,4,21,9.2,191061
2197,3,25,8.3,140781
1511,4,12,23.2,80000
2724,5,5,13.9,202321
2285,4,11,6.4,247891
4130,4,12,19.6,184094
2851,3,17,14.3,169188
2060,2,13,10.4,167266
2329,3,16,6.2,238607
1348,4,21,21.6,80000
1976,3,10,20.8,88707
1729,3,4,15.6,99211
2429,4,3,4.6,256177
2004,4,12,1.8,221181
1899,3,45,7.5,123144
3438,3,27,8.3,238339
4057,4,19,1.4,331410
2826,4,5,4.4,302964
3757,4,16,7.3,242356
2488,3,20,4.7,190222
3075,3,7,7.6,228700
2508,3,17,14.7,163092
1165,4,11,15.6,80000
1319,3,8,12.6,86716
2536,2,15,2.1,199232
4357,2,6,5.0,266444
1858,4,4,20.2,80000
1960,5,14,9.3,202235
2168,3,30,12.8,137388
1650,3,21,13.4,128758
1954,1,22,11.0,126612
2981,4,41,2.0,242197
2814,4,19,8.9,233632
1901,3,17,5.7,200069
3109,3,6,17.9,169843
3208,2,18,3.7,260768
2391,2,43,12.2,109922
2669,5,11,7.3,285944
3650,3,21,7.7,244037
2595,5,21,12.5,213507
3039,3,17,6.2,268957
3355,3,16,0.9,274702
2876,4,5,13.7,221047
2193,4,14,19.6,116409
2982,2,40,15.0,116083
2472,4,27,2.1,262926
2288,3,3,14.0,166914
2299,4,14,16.3,172684
2644,4,4,5.6,287567
2125,4,17,5.9,208971
2663,5,9,6.0,301706
2807,3,3,4.6,269519
2593,4,13,0.2,285163
2196,4,49,12.8,101680
1743,1,21,10.6,129261
2415,3,12,26.1,80000
3373,4,41,7.2,229587
2725,3,20,17.4,151912
2324,4,4,5.6,276814
3156,1,18,10.5,218900
1633,3,3,2.9,210786
1860,3,12,3.0,218638
4363,2,24,11.0,248140
1731,2,14,17.1,115119
4077,3,22,5.2,304170
2991,3,32,7.2,211360
2755,4,5,4.7,268912
2230,3,10,25.2,80000
1862,4,17,15.3,130566
2829,2,15,2.7,255829
2705,3,27,11.9,173889
3228,2,15,3.9,239987
2230,2,10,9.7,204559
2848,3,5,9.2,237729
1289,2,34,14.6,85731
3904,2,18,9.6,225566
1945,5,17,15.0,126452
3422,4,5,15.6,210096
2890,3,8,2.2,276057
2056,4,6,15.5,138128
2166,4,22,6.2,229506
2677,5,2,8.6,244815
3585,3,9,19.1,140357
1759,3,20,2.6,196066
1330,4,42,5.3,150316
1454,2,10,7.7,134527
2124,4,6,13.9,164257
3320,5,3,17.2,211636
2930,4,4,8.9,240089
3009,4,15,4.2,263759
2742,4,7,18.0,154973
2445,4,8,19.4,130507
2251,2,10,13.7,162102
2575,3,39,12.8,123709
2508,3,16,15.0,170683
2128,3,18,2.9,225068
3555,3,6,14.4,240380
3642,3,11,1.1,298484
4424,2,16,18.5,186099
1830,4,6,9.0,220803
3299,3,15,3.3,263062
1916,4,14,1.2,201183
4454,3,49,18.7,116589
1988,5,8,6.4,250902
3036,3,20,4.5,218960
2852,3,17,27.1,80000
1022,4,5,9.8,152338
2168,3,20,22.7,80000
1989,3,12,6.6,203960
2265,5,24,3.8,280590
2196,4,36,6.2,221350
4153,4,3,20.1,178986
2556,4,12,17.0,158659
2376,2,12,4.2,222488
1930,3,9,5.0,230052
1449,2,30,7.6,92120
3461,3,1,5.2,273003
3574,2,7,12.1,224227
2243,4,19,9.1,201044
3657,3,3,2.7,305500
2732,3,13,3.0,261674
3945,5,14,20.8,199302
2008,5,27,6.5,214308
2794,4,21,3.1,257474
3560,3,23,4.5,254928
3225,4,33,8.2,228127
1885,4,33,3.5,197073
2253,4,6,18.0,143513
3475,3,7,8.6,222440
1797,3,9,22.0,80000
3056,4,16,6.7,283266
1813,4,7,5.7,192559
2999,3,17,8.9,216425
2411,4,7,7.0,267611
2371,4,9,9.4,241044
2038,3,11,12.2,167405
2833,3,7,9.6,210873
2711,3,11,4.4,278841
2138,5,13,14.8,156747
3622,2,16,4.2,255990
1879,3,20,11.7,191576
1176,2,15,2.9,186173
2100,3,5,11.9,194048
2288,2,18,10.2,173426
3873,3,20,16.1,174595
2658,3,18,7.1,231001
4768,4,40,13.7,232587
2875,3,9,4.3,261143
3261,4,3,5.4,316666
2023,4,11,13.3,158294
1374,3,45,1.2,157444
3245,4,20,9.2,260627
2850,4,19,8.7,235476
2609,3,6,26.2,80000
2405,3,12,7.8,230259
3447,3,11,6.6,293828
2868,4,22,16.7,136723
2071,1,17,7.9,152415
1576,2,35,14.8,80000
3045,4,4,20.3,156919
1723,5,7,8.3,203724
2538,3,23,15.5,160081
2276,3,3,13.9,188000
1976,3,7,19.5,80000
2770,2,12,5.5,207696
2567,4,15,8.7,223595
1999,5,9,3.3,248156
3776,3,20,6.3,297318
1876,4,14,7.8,225301
3048,4,19,10.2,236124
3107,3,6,27.9,80000
3989,4,26,26.8,80000
2191,2,2,3.0,249005
1282,4,15,7.1,148521
3500,3,22,9.8,211548
3093,4,29,6.3,243272
1624,2,20,16.3,80000
2119,3,40,23.6,80000
3732,5,36,9.4,229110
3115,2,21,9.6,178038
1931,1,4,0.4,220633
2859,4,8,13.1,230949
1993,4,10,14.8,152692
2056,3,25,5.1,208518
1697,3,6,8.8,189358
1681,1,8,2.2,218382
2183,2,8,12.0,158779
2270,3,33,6.5,168088
2258,1,9,8.6,197100
3120,1,8,8.4,217589
3226,4,27,6.0,270128
1821,3,22,10.6,154709
3711,3,34,6.0,230287
2736,3,12,8.6,239032
3021,4,5,10.5,260090
1702,3,9,17.6,97552
2529,4,1,8.3,228319
1426,4,14,5.5,184907
2486,3,4,4.6,286065
2507,5,19,10.8,232914
2038,2,8,7.9,161176
3351,5,11,18.5,192029
2239,3,10,16.4,115796
3421,5,3,15.6,209270
2419,2,26,3.9,199611
1501,4,10,11.3,132566
3008,4,24,6.9,266261
1218,1,13,15.1,80000
3588,4,30,21.8,164884
3526,3,14,12.8,221028
3352,2,4,19.5,136806
1786,3,9,13.0,156019
3202,2,3,16.0,181097
4416,3,12,5.2,311431
3655,4,11,7.4,282120
2037,2,8,11.3,170281
3658,5,18,9.6,254076
3102,5,16,3.5,320782
2933,3,24,7.6,251893
3735,5,4,6.5,324637
2265,4,21,5.7,225019
4220,3,5,4.1,301222
2923,5,13,10.2,236268
2710,3,3,5.3,270948
1792,4,33,14.2,113382
3059,3,21,12.5,182450
1618,3,27,13.3,115485
2175,3,42,1.1,191201
2018,3,6,14.7,162980
1966,3,13,20.4,80000
2035,5,4,13.6,214277
3528,2,8,12.1,254997
2843,4,29,12.0,174207
1971,4,12,8.9,203195
2257,3,49,9.1,104327
2013,4,16,1.8,236441
2492,3,13,11.8,185101
2407,2,21,10.5,169177
3455,2,17,0.8,273293
2409,3,26,3.4,234642
2061,5,5,1.3,297177
1017,2,1,14.5,80377
3554,4,7,14.0,235376
2222,4,4,5.6,266624
2550,3,14,3.1,251982
3253,1,1,34.2,80000
1982,2,18,5.5,201913
2429,5,8,19.0,156263
3797,4,10,8.1,289350
2272,4,13,6.6,221151
3058,2,11,3.9,256375
2835,5,15,6.4,294508
1449,4,10,3.3,210122
2353,4,9,14.4,173724
4720,4,2,3.8,332718
2873,4,26,13.4,192240
1970,2,7,4.9,170865
2037,3,9,6.7,229727
3212,3,3,3.8,289981
2128,3,16,9.3,207680
4283,2,15,13.0,230522
4247,1,17,11.2,195671
1575,3,8,6.1,161398
2642,4,21,10.8,240926
1426,3,12,12.4,147619
2374,3,11,7.8,198803
1683,3,10,7.9,160495
2537,3,7,16.5,145607
1993,4,13,7.1,190193
3560,5,45,14.0,217746
1521,2,2,11.4,129033
3216,5,12,4.4,275406
2782,4,9,18.0,173214
3440,2,19,12.4,188569
3376,3,4,24.8,89326
1652,5,29,3.2,180225
2525,3,29,7.5,225807
3325,5,28,0.3,329883
2001,5,12,18.4,120827
2924,4,24,16.2,146548
2225,3,22,4.6,229176
2962,3,22,2.6,256642
3549,4,27,11.3,206177
1808,5,3,15.3,178157
4040,4,5,4.8,334608
1780,3,34,36.8,80000
2982,1,11,7.6,189820
2070,3,20,3.3,215953
1317,4,21,12.0,121433
2458,4,14,19.2,120077
3313,4,19,14.7,221394
2401,4,19,6.0,218473
3134,3,11,6.6,274576
1630,3,8,11.0,125935
2127,5,5,6.2,254747
4579,3,18,21.4,111773
1650,4,14,3.1,195113
1675,4,21,6.9,174518
2499,3,22,3.1,200234
2379,2,21,4.3,236000
3004,2,55,8.0,156968
3045,2,16,2.0,300670
1200,3,13,19.8,80000
4678,4,19,14.1,222226
4271,2,14,26.8,82328
2255,4,12,13.9,180113
4522,2,22,4.8,280687
2105,2,12,15.7,144694
1966,3,7,1.9,264888
1737,3,10,11.8,128147
1583,4,16,2.6,236918
2250,4,1,8.2,265826
3064,2,19,15.3,158065
2074,4,8,15.5,150560
2803,5,25,16.9,196902
2491,5,33,12.1,172441
1722,4,28,9.6,171030
3051,3,13,24.9,80000
2855,2,20,4.1,225010
1306,4,10,10.3,146955
2881,3,36,6.0,209247
1336,3,8,2.5,165616
2547,3,9,7.0,195353
1987,4,40,18.1,80000
2670,4,9,10.1,225685
